UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
DoD InspectorGeneral,@DoD_IG,2020-11-25T18:47:52.000Z,"North African Violent Extremist Organizations (VEOs) were disrupted and degraded.

The threat posed by al-Qaeda in the Islamic Maghreb and ISIS-Libya neared its lowest point in a decade.",,1,,
Eddy Hoover,@Eddy_Hoover,2020-11-25T18:41:38.000Z,"Replying to 
@MarshaBlackburnThank you 
@MarshaBlackburn
 for pointing this out, as Al-Shabaab is often overlooked by Hezbollah, ISIS, the Taliban and Al-Qaeda, yet they pose significant threats in Somalia and East Africa. It’s important we help Somalis combat this dreadful terrorist organization!",,,2,3
Tony,@just_tonee,2020-11-25T18:39:36.000Z,"Replying to 
@dbonginoReally, this is who Biden appointed! Since when ever is Al-Qaeda considered good company. You don't befriend terrorists!",,,,2
James Keay,@reach147,2020-11-25T18:37:38.000Z,"The Al-Qaeda Leader Elimination in Tehran Embarrasses Iran - FrontpagemagThe Al-Qaeda Leader Elimination in Tehran Embarrasses Iran - Frontpagemag
The message to terrorists is that the U.S. and Israel don’t forgive or forget.
frontpagemag.com",,,,
tfraymond,@tfraymond,2020-11-25T18:32:30.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
Patriot Ron,@Malum_ad_os028,2020-11-25T18:17:33.000Z,"Al-Qaeda on our side you're talking about a cousin of ISIS? It's absurd how quickly we forgetBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
Tibor Gyula Balogh,@tibor_g_balogh,2020-11-25T18:12:36.000Z,"Going Underground (RT)

Barnett Rubin,

 -ex- State Department US official 

""Afghanistan:
What Everyone
Needs To Know""

http://feeds.soundcloud.com/stream/935691190-rttv-going-underground-afghanistan-behind-the-rise-of-the-taliban-al-qaeda.mp3…

the rise of the Taliban and Al-Qaeda out of the Mujahideen",,,,
Phil Bevis,@PhilB6vis,2020-11-25T18:10:35.000Z,"Jihadist cleric who adores al-Qaeda 
gets released to continue 
preaching in Turkey 
17/06/20 / Abdullah Bozkurt // NM
https://nordicmonitor.com/2020/06/a-jihadist-cleric-who-adored-al-qaeda-gets-released-to-continue-preaching-in-turkey/… 
via 
@nordicmonitorJihadist cleric who adores al-Qaeda gets released to continue preaching in Turkey
Abdullah Bozkurt   Yusuf Selami Çakaroğlu, a Turkish pro-al-Qaeda cleric under indictment, escaped from the grip of the criminal justice system in Turk
nordicmonitor.com",,,,
John LaVeque,@jlmerlav,2020-11-25T18:06:34.000Z,"Biden National Security Adviser Pick Said “Al-Qaeda Is On Our Side” in Syria Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",👇,,,
Chris,@lilchriss2316,2020-11-25T18:05:56.000Z,"ISIS didn’t exist before!
Suddenly, our troops are teamed up with al-Qaeda and Taliban to fight against “moderate rebels” that WE CREATED, CIA!!
Wake up brother!
Gen Wesley Clark ADMITTED THE PLAN TO INVADE 7 COUNTRIES IN 5 YEARS!!!!
911 was absolutely an inside job!Quote Tweet
Daniel F. Baranowski
@DFBHarvard
 · Nov 17
Our Intelligence Community:

MISSED 9/11!

MISSED Weapons of Mass Destruction!

BLEW the ISIS takeover!

AIDED a coup d'etat to OVERTHROW Trump!

AND, NOW, ARE ""HANDS-OFF"" THE VOTER FRAUD CRISIS!

RETWEET If you think our Intelligence Community is part of the Deep State!",,1,,1
lina,@LinaiBuff,2020-11-25T18:05:33.000Z,"Replying to 
@AnisPFI
 and 
@PFIOfficialThose having links with ISI of Pakistan are giving lectures on Muslim rights in India.
What's ironical is that 
@PFIOfficial
 has been recently found to be receiving money from IHH, a turkey based Al-Qaeda linked organization.
A fox defending the actions of Jackal!
@oma_salam",,,,
Phil Bevis,@PhilB6vis,2020-11-25T17:57:56.000Z,"Turkish intelligence 
tried to pass off al-Qaeda
and IS fighters as moderates 
in  CIA   and  Pentagon vettings
22/07/20 / Abdullah Bozkurt // NM
https://nordicmonitor.com/2020/07/13283/ 
via 
@nordicmonitorTurkish intelligence tried to pass off al-Qaeda, ISIS fighters as moderates in CIA/Pentagon vetting
Abdullah Bozkurt   Turkey’s spy agency, the National Intelligence Organization (Milli İstihbarat Teşkilatı, or MIT) hid information from the US mili
nordicmonitor.com",,,,
DAA,@EHSmgr,2020-11-25T17:53:01.000Z,"Replying to 
@foxcarolinanewsThis is the guy whose cabinet members said Al-Qaeda are our allies. You cant make this up and people voted for him ",😂,,,
James McGillivray,@JamesMcG_MSBI,2020-11-25T17:51:33.000Z,"Quite incredible evening listening to 
@McgownStephen
 talking about his biography, “Six years with Al-Qaeda”.

Can’t imagine the anguish and pain experienced by Steve, his family, and friends.",,,,1
Kevin Bowen,@kevinbowen51,2020-11-25T17:47:54.000Z,"Replying to 
@jefftimmerSubstitute Al-Qaeda for COVID and they'd double the military budget .
Pay the people!",,,,1
roo.,@Roocist,2020-11-25T17:47:25.000Z,wish i was in Al-Qaeda so i could explode myself,⚙,,,5
InSideGoDsHed,@InSideGoDsHed,2020-11-25T17:45:37.000Z,"Replying to 
@dbongino“Al-Qaeda Is On Our Side” in Syria ?? ",🤔 🤣 🤣 🤣,,,1
Linda3,@mastrolyn,2020-11-25T17:41:03.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
"Pure hearted
7777",@PureHearted7777,2020-11-25T17:40:22.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",💥 ❤ ❤ 💥 💥 💥 💥 💥 💥 💥,1,6,1
WORLD Radio,@TWERadio,2020-11-25T17:40:07.000Z,"This week's World Tour of international news from 
@onize_ohiks
:

- Al-Qaeda names new North Africa leader

- Guatemalan protesters set fire to congressional building

- Peru gets 3rd president in a week

- France postpones #BlackFriday

https://worldandeverything.org/2020/11/world-tour-a-new-terrorist-leader-and-presidents-in-peru/…",,,1,
Daniele Garofalo,@G88Daniele,2020-11-25T17:39:14.000Z,"Pro-#AQ media channel, Sawt al-Qaeda, has announced the launch of a new magazine entitled: ""Wolves of Manhattan magazine”.

 #AlQaeda #terrorism 
@KyleWOrton
 @BarakMendelsohn
 @Minalami
 @azelin
 @ToreRHamming
 @Natsecjeff
 @BokoWatch
 @Ali_H_Soufan
 @KatieZimmerman
 @NihadJariri",,1,9,19
Chasing the Real,@SharonCoffman20,2020-11-25T17:37:41.000Z,"Replying to 
@dbonginoYou mean OBAMA said Al-Qaeda is on our side.",,,,
Kerry,@KerrykeKerry,2020-11-25T17:37:39.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
Forces News,@ForcesNews,2020-11-25T17:33:00.000Z,"A retired military dog has been awarded the animal equivalent of the Victoria Cross. 
 

Kuno was given the medal for his role in a compound raid against al-Qaeda in which he suffered severe injuries.2:26
987 views",🎖,2,15,68
BRK,@SVPhilosophers7,2020-11-25T17:28:19.000Z,"Replying to 
@dbonginoBiden and Kamala are Al-Qaeda, ISIS, Antifa, BLM, PKK, CCP, all rolled into one.",,,,
Angel Barger,@angelbarger,2020-11-25T17:25:25.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
A SIMPLE MINDED VIEW,@minded_a,2020-11-25T17:25:04.000Z,"Replying to 
@dbonginoAl-Qaeda AND Covid are in our side... don't forget Covid",,,,
Carrie Mayo (Parler: SouthernBelleTarheel),@Amazing_Grace2,2020-11-25T17:21:31.000Z,"Biden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria | Dan BonginoBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
The Irishman,@commonpatriot,2020-11-25T17:18:12.000Z,"Heeeeere's your sign...

via 
@dbongino
: Biden National Security Adviser Pick Said “Al-Qaeda Is On Our Side” in SyriaBiden National Security Adviser Pick Said ""Al-Qaeda Is On Our Side"" in Syria
Red flags galore.
bongino.com",,,,
